id,column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8
aixzbvm,0.816381958,98,0.951041523,2014-11-10,47,19,B,ZZ
ifbtfwz,AAAA,51,0.52596644,2015-08-11,97,2,B,YY
tkceuvc,0.247581493,41,0.847410661,2012-07-09,68,14,A,YY
umcwfyz,0.557780878,53,0.947833855,2013-04-14,97,32,A,YY
zgxlzqi,0.606263481,95,0.793337262,2019-10-02,30,40,C,XX
ovnhrup,0.88336107,47,0.981591658,2015-09-25,51,51,,XX
kntzxxw,0.040025238,30,0.594015164,2014-10-22,56,51,C,ZZ
ayerqus,0.797124802,63,0.788950693,2011-02-28,53,65,C,XX
iqmqork,0.758373886,47,,2020-03-22,96,45,A,XX
fdmbnhe,0.173165372,57,0.603385012,2015-09-06,12,55,B,
dtuqtwa,0.718556689,16,0.997567787,2011-05-20,14,31,C,ZZ
lopgpqs,,28,0.212195537,2017-02-26,23,87,A,YY
ehtjnrj,0.797171292,82,0.445885877,2020-03-15,89,52,A,YY
nbsklre,0.12896244,49,0.545298877,2021-01-08,1,58,A,XX
srerosp,0.505722476,78,0.8582317,2016-11-25,2,13,D,ZZ
pyearbz,0.929800422,72,0.608594238,2010-07-01,82,79,B,XX
gbhsrlf,0.622540331,56,0.665461163,2016-10-16,48,45,C,XX
tzelwve,0.935106819,34,0.581008584,2017-06-22,39,30,D,ZZ
ztapryx,0.470539662,61,0.513905398,2021-02-27,65,92,A,ZZ
yhqwchi,0.840352948,43,0.341718351,2017-02-21,4,32,D,ZZ
vulbayd,0.546463518,32,0.055600901,2017-11-14,29,45,D,ZZ
iwyvfxz,0.001377202,60,0.307433579,2018-07-12,84,88,D,YY
znmcjdh,0.542062973,48,0.34391004,2012-03-07,29,65,C,YY
gysnaht,0.329938543,82,0.070496023,2013-01-12,23,73,C,XX
rxyokxi,0.791558094,13,0.896292437,2011-07-15,42,16,B,XX
edypfnu,0.857616132,11,0.589279704,2020-08-17,97,27,C,ZZ
aeqibqw,0.268432041,70,0.17366465,2012-08-28,63,3,B,YY
vonwdzb,0.74340483,5,0.379827767,2016-04-28,39,86,D,YY
gfgcacn,0.793315703,48,0.093799601,2014-05-20,38,34,D,XX
nlrvisr,0.561482319,44,0.810882029,2019-07-29,56,55,B,ZZ
nbmuxdo,0.284363513,96,0.320895581,2019-03-18,90,67,B,ZZ
ucmvnka,0.712570861,13,0.707362282,2017-07-12,86,30,A,YY
kbwyaur,0.87610002,2,0.952700749,2021-10-28,48,41,C,YY
rqbkoda,0.798194544,60,0.306216481,2019-11-09,67,23,C,ZZ
pbgbute,0.49174735,62,0.330221439,2013-08-20,43,24,D,ZZ
dguvjrh,0.048798755,16,0.393015166,2020-08-10,96,41,D,XX
bmzdeta,0.742467947,64,0.285495851,2010-08-17,18,25,C,XX
nxfolhp,0.094157127,73,0.58676215,2017-04-14,45,52,C,XX
hcbpkdu,0.411896136,46,,2014-11-01,69,53,C,ZZ
vbnaoxn,0.181110168,90,0.991359464,2017-04-09,82,77,D,ZZ
dufxllj,0.882538175,9,0.864376422,2019-11-01,65,9,A,ZZ
iznlzdw,0.922145327,15,0.130053462,2017-10-19,37,23,A,ZZ
aqcqyiw,0.914654456,63,0.042399518,2021-07-06,73,99,B,ZZ
dolsjgd,0.095581781,14,0.394207098,2011-05-25,98,68,D,XX
fwkeslp,0.893427019,60,0.321991062,2013-08-24,29,60,A,XX
ltcihlq,0.070563959,77,0.224843899,2010-08-11,6,19,A,YY
zmzprjp,0.752174036,24,0.27381604,2014-04-03,68,22,C,ZZ
lxhxnht,0.541297947,88,0.765432405,2010-04-29,,97,B,YY
qmmrzyf,0.604785365,65,This is a string,2017-03-07,66,58,D,ZZ
bougnfu,0.664027335,12,0.086004177,2011-09-12,64,27,C,XX
jkwftsj,0.254996892,33,0.360330877,2021-10-10,6,28,D,ZZ
